# number of rays:      31
# iteration   EID   ray    X              A              Y              B              T              D
         1     5      4 -0.1460710E-02 -0.4213052E-03  0.0000000E+00  0.0000000E+00  0.4318435E-04  0.0000000E+00
         1     5      5 -0.3441762E-08 -0.5076625E-08 -0.1396290E-03  0.3940067E-03 -0.6754749E-07  0.0000000E+00
         1     5      6 -0.1941417E-05 -0.2863479E-05  0.0000000E+00  0.0000000E+00 -0.2724630E-04 -0.7777778E-04
         1     5      7 -0.1043370E-02 -0.3009311E-03  0.0000000E+00  0.0000000E+00  0.3086193E-04  0.0000000E+00
         1     5      8 -0.1756001E-08 -0.2590115E-08 -0.9973502E-04  0.2814333E-03 -0.3446300E-07  0.0000000E+00
         1     5      9 -0.1386704E-05 -0.2045334E-05  0.0000000E+00  0.0000000E+00 -0.1946128E-04 -0.5555556E-04
         1     5     10 -0.6260257E-03 -0.1805579E-03  0.0000000E+00  0.0000000E+00  0.1852674E-04  0.0000000E+00
         1     5     11 -0.6321603E-09 -0.9324413E-09 -0.5984102E-04  0.1688600E-03 -0.1240668E-07  0.0000000E+00
         1     5     12 -0.8320086E-06 -0.1227196E-05  0.0000000E+00  0.0000000E+00 -0.1167655E-04 -0.3333333E-04
         1     5     13 -0.2086764E-03 -0.6018573E-04  0.0000000E+00  0.0000000E+00  0.6178774E-05  0.0000000E+00
         1     5     14 -0.7024003E-10 -0.1036046E-09 -0.1994701E-04  0.5628666E-04 -0.1378520E-08  0.0000000E+00
         1     5     15 -0.2773317E-06 -0.4090638E-06  0.0000000E+00  0.0000000E+00 -0.3892110E-05 -0.1111111E-04
         1     5     16  0.2086775E-03  0.6018549E-04  0.0000000E+00  0.0000000E+00 -0.6181968E-05  0.0000000E+00
         1     5     17 -0.7024003E-10 -0.1036046E-09  0.1994701E-04 -0.5628666E-04 -0.1378520E-08  0.0000000E+00
         1     5     18  0.2773272E-06  0.4090623E-06  0.0000000E+00  0.0000000E+00  0.3892037E-05  0.1111111E-04
         1     5     19  0.6260361E-03  0.1805557E-03  0.0000000E+00  0.0000000E+00 -0.1855549E-04  0.0000000E+00
         1     5     20 -0.6321603E-09 -0.9324413E-09  0.5984102E-04 -0.1688600E-03 -0.1240668E-07  0.0000000E+00
         1     5     21  0.8319680E-06  0.1227182E-05  0.0000000E+00  0.0000000E+00  0.1167589E-04  0.3333333E-04
         1     5     22  0.1043399E-02  0.3009250E-03  0.0000000E+00  0.0000000E+00 -0.3094178E-04  0.0000000E+00
         1     5     23 -0.1756001E-08 -0.2590115E-08  0.9973502E-04 -0.2814333E-03 -0.3446300E-07  0.0000000E+00
         1     5     24  0.1386591E-05  0.2045296E-05  0.0000000E+00  0.0000000E+00  0.1945945E-04  0.5555556E-04
         1     5     25  0.1460767E-02  0.4212933E-03  0.0000000E+00  0.0000000E+00 -0.4334086E-04  0.0000000E+00
