# number of spin vectors:      31
# iteration   EID vector   S_X            S_Y            S_Z
         1     3     28  0.4890396E-03  0.0000000E+00  0.9999999E+00
         1     3     29  0.0000000E+00 -0.4536525E-03  0.9999999E+00
         1     3     30  0.0000000E+00  0.0000000E+00  0.1000000E+01

         1     4      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     4      1  0.2093351E-01  0.0000000E+00  0.9997809E+00
         1     4      2  0.2140893E-01  0.4536368E-03  0.9997707E+00
         1     4      3  0.2140286E-01  0.0000000E+00  0.9997709E+00
         1     4      4  0.2103916E-01  0.0000000E+00  0.9997787E+00
         1     4      5  0.2140894E-01  0.3528287E-03  0.9997707E+00
         1     4      6  0.2140421E-01  0.0000000E+00  0.9997709E+00
         1     4      7  0.2114482E-01  0.0000000E+00  0.9997764E+00
         1     4      8  0.2140894E-01  0.2520205E-03  0.9997708E+00
         1     4      9  0.2140557E-01  0.0000000E+00  0.9997709E+00
         1     4     10  0.2125047E-01  0.0000000E+00  0.9997742E+00
         1     4     11  0.2140895E-01  0.1512123E-03  0.9997708E+00
         1     4     12  0.2140692E-01  0.0000000E+00  0.9997708E+00
         1     4     13  0.2135613E-01  0.0000000E+00  0.9997719E+00
         1     4     14  0.2140895E-01  0.5040409E-04  0.9997708E+00
         1     4     15  0.2140827E-01  0.0000000E+00  0.9997708E+00
         1     4     16  0.2146178E-01  0.0000000E+00  0.9997697E+00
         1     4     17  0.2140895E-01 -0.5040409E-04  0.9997708E+00
         1     4     18  0.2140963E-01  0.0000000E+00  0.9997708E+00
         1     4     19  0.2156742E-01  0.0000000E+00  0.9997674E+00
         1     4     20  0.2140895E-01 -0.1512123E-03  0.9997708E+00
         1     4     21  0.2141098E-01  0.0000000E+00  0.9997708E+00
         1     4     22  0.2167307E-01  0.0000000E+00  0.9997651E+00
         1     4     23  0.2140894E-01 -0.2520205E-03  0.9997708E+00
         1     4     24  0.2141234E-01  0.0000000E+00  0.9997707E+00
         1     4     25  0.2177871E-01  0.0000000E+00  0.9997628E+00
         1     4     26  0.2140894E-01 -0.3528287E-03  0.9997707E+00
         1     4     27  0.2141369E-01  0.0000000E+00  0.9997707E+00
         1     4     28  0.2188435E-01  0.0000000E+00  0.9997605E+00
         1     4     29  0.2140893E-01 -0.4536368E-03  0.9997707E+00
         1     4     30  0.2141504E-01  0.0000000E+00  0.9997707E+00

         1     5      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     5      1  0.2093351E-01  0.0000000E+00  0.9997809E+00
         1     5      2  0.2140893E-01  0.4536368E-03  0.9997707E+00
         1     5      3  0.2140286E-01  0.0000000E+00  0.9997709E+00
         1     5      4  0.2103916E-01  0.0000000E+00  0.9997787E+00
         1     5      5  0.2140894E-01  0.3528287E-03  0.9997707E+00
         1     5      6  0.2140421E-01  0.0000000E+00  0.9997709E+00
         1     5      7  0.2114482E-01  0.0000000E+00  0.9997764E+00
         1     5      8  0.2140894E-01  0.2520205E-03  0.9997708E+00
         1     5      9  0.2140557E-01  0.0000000E+00  0.9997709E+00
         1     5     10  0.2125047E-01  0.0000000E+00  0.9997742E+00
         1     5     11  0.2140895E-01  0.1512123E-03  0.9997708E+00
         1     5     12  0.2140692E-01  0.0000000E+00  0.9997708E+00
         1     5     13  0.2135613E-01  0.0000000E+00  0.9997719E+00
         1     5     14  0.2140895E-01  0.5040409E-04  0.9997708E+00
         1     5     15  0.2140827E-01  0.0000000E+00  0.9997708E+00
         1     5     16  0.2146178E-01  0.0000000E+00  0.9997697E+00
         1     5     17  0.2140895E-01 -0.5040409E-04  0.9997708E+00
         1     5     18  0.2140963E-01  0.0000000E+00  0.9997708E+00
         1     5     19  0.2156742E-01  0.0000000E+00  0.9997674E+00
         1     5     20  0.2140895E-01 -0.1512123E-03  0.9997708E+00
         1     5     21  0.2141098E-01  0.0000000E+00  0.9997708E+00
         1     5     22  0.2167307E-01  0.0000000E+00  0.9997651E+00
         1     5     23  0.2140894E-01 -0.2520205E-03  0.9997708E+00
